order_id ,date
8886,"2016, 05, 29"
11424,"2016, 07, 10"
19361,"2016, 11, 26"
4489,"2016, 03, 17"
7112,"2016, 04, 30"
18209,"2016, 11, 06"
3713,"2016, 04, 03"
892,"2016, 01, 15"
7810,"2016, 05, 11"
10155,"2016, 06, 19"
3824,"2016, 03, 06"
18673,"2016, 11, 14"
16187,"2016, 09, 30"
12314,"2016, 07, 24"
19260,"2016, 11, 25"
2651,"2016, 02, 13"
15614,"2016, 09, 18"
10992,"2016, 07, 03"
9347,"2016, 06, 06"
17625,"2016, 10, 28"
9981,"2016, 06, 16"
10258,"2016, 06, 21"
19347,"2016, 11, 26"
1504,"2016, 01, 26"
19883,"2016, 04, 12"
18739,"2016, 11, 16"
17843,"2016, 10, 31"
7781,"2016, 11, 05"
20287,"2016, 12, 11"
18950,"2016, 11, 19"
5534,"2016, 04, 03"
7866,"2016, 05, 12"
2202,"2016, 02, 06"
12250,"2016, 07, 24"
14665,"2016, 09, 02"
2691,"2016, 02, 14"
4468,"2016, 03, 16"
5399,"2016, 01, 04"
4216,"2016, 03, 12"
18459,"2016, 11, 11"
2477,"2016, 11, 02"
14795,"2016, 09, 04"
16678,"2016, 10, 09"
18708,"2016, 11, 15"
11615,"2016, 07, 13"
16244,"2016, 10, 01"
9976,"2016, 06, 16"
7833,"2016, 12, 05"
20400,"2016, 12, 13"
14792,"2016, 09, 04"
4050,"2016, 03, 09"
20545,"2016, 12, 15"
14122,"2016, 08, 24"
13109,"2016, 08, 07"
186,"2016, 01, 03"
4753,"2016, 03, 21"
12569,"2016, 07, 29"
6537,"2016, 04, 20"
9487,"2016, 06, 08"
7099,"2016, 04, 29"
10332,"2016, 06, 23"
18620,"2016, 11, 13"
18329,"2016, 11, 09"
14959,"2016, 09, 07"
20900,"2016, 12, 21"
6502,"2016, 04, 20"
12982,"2016, 08, 05"
6436,"2016, 04, 18"
11804,"2016, 07, 16"
3146,"2016, 02, 22"
14786,"2016, 09, 04"
4479,"2016, 03, 17"
1448,"2016, 01, 24"
20707,"2016, 12, 18"
6060,"2016, 04, 12"
4079,"2016, 03, 10"
17925,"2016, 11, 01"
14100,"2016, 08, 23"
10914,"2016, 07, 02"
4142,"2016, 03, 11"
592,"2016, 10, 01"
5116,"2016, 03, 27"
16364,"2016, 10, 02"
5321,"2016, 03, 31"
7179,"2016, 01, 05"
3373,"2016, 02, 26"
14803,"2016, 09, 04"
19151,"2016, 11, 23"
13900,"2016, 08, 20"
8087,"2016, 05, 15"
6023,"2016, 11, 04"
18645,"2016, 11, 14"
11659,"2016, 07, 14"
1590,"2016, 01, 27"
140,"2016, 01, 03"
6909,"2016, 04, 26"
12579,"2016, 07, 29"
1798,"2016, 01, 31"
17930,"2016, 11, 01"
10692,"2016, 06, 29"
7512,"2016, 05, 06"
1541,"2016, 01, 26"
5809,"2016, 04, 08"
1198,"2016, 01, 20"
3775,"2016, 03, 05"
6761,"2016, 04, 24"
14478,"2016, 08, 30"
11435,"2016, 07, 10"
14898,"2016, 09, 06"
19965,"2016, 12, 05"
11550,"2016, 07, 12"
9229,"2016, 06, 04"
2047,"2016, 02, 03"
20887,"2016, 12, 21"
14894,"2016, 09, 06"
954,"2016, 01, 16"
4681,"2016, 03, 20"
3330,"2016, 02, 25"
559,"2016, 01, 09"
4175,"2016, 03, 11"
2877,"2016, 02, 17"
6640,"2016, 04, 22"
18045,"2016, 11, 04"
20213,"2016, 10, 12"
11868,"2016, 07, 17"
9123,"2016, 02, 06"
6001,"2016, 04, 11"
4965,"2016, 03, 25"
13039,"2016, 08, 06"
705,"2016, 01, 12"
9799,"2016, 06, 13"
6294,"2016, 04, 16"
10862,"2016, 07, 02"
3358,"2016, 02, 26"
16362,"2016, 10, 02"
7266,"2016, 02, 05"
2317,"2016, 08, 02"
18281,"2016, 11, 08"
5995,"2016, 04, 11"
15109,"2016, 09, 10"
3887,"2016, 03, 07"
13808,"2016, 08, 18"
12197,"2016, 07, 23"
9922,"2016, 06, 15"
18755,"2016, 11, 16"
6128,"2016, 04, 13"
16466,"2016, 10, 04"
5226,"2016, 03, 29"
3201,"2016, 02, 23"
9803,"2016, 06, 13"
17902,"2016, 11, 01"
8004,"2016, 05, 14"
5816,"2016, 04, 08"
17548,"2016, 10, 25"
4304,"2016, 03, 14"
2235,"2016, 02, 06"
11907,"2016, 07, 18"
3652,"2016, 03, 03"
17463,"2016, 10, 24"
20133,"2016, 12, 08"
12811,"2016, 08, 02"
5344,"2016, 03, 31"
12272,"2016, 07, 24"
6225,"2016, 04, 15"
21063,"2016, 12, 24"
6396,"2016, 04, 18"
5824,"2016, 04, 08"
7733,"2016, 05, 10"
9307,"2016, 06, 05"
5779,"2016, 07, 04"
20839,"2016, 12, 20"
7822,"2016, 05, 12"
16910,"2016, 10, 14"
8338,"2016, 05, 20"
11669,"2016, 07, 14"
63,"2016, 01, 01"
9248,"2016, 04, 06"
1636,"2016, 01, 28"
16057,"2016, 09, 27"
7288,"2016, 05, 02"
14892,"2016, 09, 06"
8052,"2016, 05, 15"
20843,"2016, 12, 20"
4576,"2016, 03, 18"
2218,"2016, 06, 02"
9513,"2016, 06, 09"
16595,"2016, 10, 07"
7670,"2016, 09, 05"
8438,"2016, 05, 21"
15276,"2016, 12, 09"
6783,"2016, 04, 24"
1607,"2016, 01, 27"
12227,"2016, 07, 23"
18378,"2016, 11, 09"
11774,"2016, 07, 16"
14929,"2016, 07, 09"
16866,"2016, 10, 13"
8708,"2016, 05, 26"
19557,"2016, 11, 28"
362,"2016, 01, 06"
3878,"2016, 03, 06"
20503,"2016, 12, 14"
5614,"2016, 04, 04"
8742,"2016, 05, 27"
2398,"2016, 02, 09"
19489,"2016, 11, 27"
18671,"2016, 11, 14"
918,"2016, 01, 16"
18377,"2016, 11, 09"
20757,"2016, 12, 18"
4007,"2016, 03, 09"
18199,"2016, 06, 11"
3498,"2016, 02, 28"
15740,"2016, 09, 20"
16195,"2016, 09, 30"
11504,"2016, 07, 11"
1589,"2016, 01, 27"
5901,"2016, 04, 09"
1319,"2016, 01, 22"
3693,"2016, 03, 04"
4956,"2016, 03, 25"
2464,"2016, 02, 10"
10102,"2016, 06, 19"
9834,"2016, 06, 14"
19835,"2016, 12, 03"
10921,"2016, 07, 02"
17030,"2016, 10, 15"
18786,"2016, 11, 16"
18598,"2016, 11, 13"
6826,"2016, 04, 25"
8873,"2016, 05, 29"
18375,"2016, 11, 09"
402,"2016, 01, 07"
21113,"2016, 12, 26"
6939,"2016, 04, 27"
13006,"2016, 08, 05"
1787,"2016, 01, 30"
14499,"2016, 08, 30"
13706,"2016, 08, 16"
13338,"2016, 08, 11"
8695,"2016, 05, 26"
7174,"2016, 05, 01"
4957,"2016, 03, 25"
7256,"2016, 02, 05"
12906,"2016, 08, 03"
6204,"2016, 04, 15"
16074,"2016, 09, 28"
18821,"2016, 11, 17"
19945,"2016, 12, 05"
11354,"2016, 07, 09"
3109,"2016, 02, 21"
3685,"2016, 03, 03"
12271,"2016, 07, 24"
2442,"2016, 02, 10"
6009,"2016, 04, 11"
3321,"2016, 02, 25"
8520,"2016, 05, 23"
4720,"2016, 03, 20"
15945,"2016, 09, 26"
5976,"2016, 04, 11"
5379,"2016, 04, 01"
2386,"2016, 02, 09"
21213,"2016, 12, 28"
1980,"2016, 02, 02"
14604,"2016, 09, 01"
7220,"2016, 05, 01"
17846,"2016, 10, 31"
12631,"2016, 07, 30"
10507,"2016, 06, 25"
11790,"2016, 07, 16"
7698,"2016, 05, 09"
3136,"2016, 02, 22"
4256,"2016, 03, 13"
14251,"2016, 08, 26"
12600,"2016, 07, 30"
194,"2016, 01, 03"
17792,"2016, 10, 30"
11345,"2016, 07, 09"
19385,"2016, 11, 26"
7560,"2016, 05, 07"
11802,"2016, 07, 16"
4719,"2016, 03, 20"
1070,"2016, 01, 18"
9199,"2016, 06, 03"
3773,"2016, 03, 05"
257,"2016, 01, 05"
18244,"2016, 11, 07"
20735,"2016, 12, 18"
13713,"2016, 08, 16"
3036,"2016, 02, 20"
7624,"2016, 05, 08"
9292,"2016, 06, 05"
7876,"2016, 05, 12"
4731,"2016, 03, 21"
19022,"2016, 11, 21"
9146,"2016, 06, 02"
2034,"2016, 02, 03"
9108,"2016, 06, 02"
1047,"2016, 01, 18"
19565,"2016, 11, 29"
309,"2016, 01, 06"
11694,"2016, 07, 15"
11859,"2016, 07, 17"
19999,"2016, 12, 06"
16642,"2016, 10, 08"
10856,"2016, 07, 01"
19642,"2016, 11, 30"
8046,"2016, 05, 15"
16373,"2016, 10, 02"
11677,"2016, 07, 14"
7218,"2016, 01, 05"
1505,"2016, 01, 26"
20764,"2016, 12, 18"
18964,"2016, 11, 20"
5416,"2016, 04, 01"
9100,"2016, 06, 02"
8794,"2016, 05, 28"
7245,"2016, 05, 02"
10521,"2016, 06, 26"
3969,"2016, 03, 08"
17248,"2016, 10, 20"
35,"2016, 01, 01"
6792,"2016, 04, 24"
3953,"2016, 08, 03"
10855,"2016, 07, 01"
6719,"2016, 04, 23"
4288,"2016, 03, 13"
17154,"2016, 10, 17"
14624,"2016, 09, 01"
17916,"2016, 01, 11"
18709,"2016, 11, 15"
82,"2016, 01, 02"
792,"2016, 01, 14"
14659,"2016, 02, 09"
4966,"2016, 03, 25"
6207,"2016, 04, 15"
6892,"2016, 04, 26"
777,"2016, 01, 13"
6251,"2016, 04, 15"
17777,"2016, 10, 30"
16676,"2016, 10, 09"
17119,"2016, 10, 17"
11135,"2016, 07, 05"
8510,"2016, 05, 22"
206,"2016, 04, 01"
12850,"2016, 08, 02"
20882,"2016, 12, 21"
5313,"2016, 03, 31"
11731,"2016, 07, 15"
1781,"2016, 01, 30"
4752,"2016, 03, 21"
4647,"2016, 03, 19"
12832,"2016, 08, 02"
15280,"2016, 09, 12"
20702,"2016, 12, 18"
18108,"2016, 11, 05"
14639,"2016, 02, 09"
579,"2016, 10, 01"
3972,"2016, 03, 08"
9396,"2016, 06, 07"
7303,"2016, 05, 02"
11271,"2016, 07, 07"
5714,"2016, 04, 06"
4763,"2016, 03, 21"
19374,"2016, 11, 26"
7450,"2016, 05, 05"
5596,"2016, 04, 04"
18473,"2016, 11, 11"
18889,"2016, 11, 19"
9766,"2016, 06, 13"
5249,"2016, 03, 30"
2173,"2016, 02, 05"
18389,"2016, 11, 10"
1342,"2016, 01, 23"
1684,"2016, 01, 29"
10929,"2016, 03, 07"
16890,"2016, 10, 14"
530,"2016, 01, 09"
4954,"2016, 03, 25"
18546,"2016, 11, 12"
11342,"2016, 07, 09"
9448,"2016, 06, 08"
5525,"2016, 04, 03"
16233,"2016, 10, 01"
2211,"2016, 02, 06"
15354,"2016, 09, 14"
20904,"2016, 12, 21"
6616,"2016, 04, 21"
13780,"2016, 08, 18"
15002,"2016, 08, 09"
551,"2016, 01, 09"
10900,"2016, 07, 02"
11047,"2016, 07, 04"
6705,"2016, 04, 23"
12334,"2016, 07, 25"
17623,"2016, 10, 27"
10999,"2016, 07, 03"
5660,"2016, 04, 05"
7024,"2016, 04, 28"
10167,"2016, 06, 19"
6024,"2016, 04, 11"
15832,"2016, 09, 22"
18517,"2016, 11, 12"
4261,"2016, 03, 13"
17795,"2016, 10, 30"
15916,"2016, 09, 23"
14035,"2016, 08, 22"
16387,"2016, 10, 03"
21221,"2016, 12, 29"
14384,"2016, 08, 28"
2558,"2016, 12, 02"
19453,"2016, 11, 27"
10827,"2016, 07, 01"
21273,"2016, 12, 30"
5696,"2016, 04, 06"
6448,"2016, 04, 18"
15450,"2016, 09, 15"
5496,"2016, 04, 02"
20377,"2016, 12, 12"
9924,"2016, 06, 15"
2073,"2016, 02, 04"
2373,"2016, 09, 02"
6179,"2016, 04, 14"
19066,"2016, 11, 21"
13924,"2016, 08, 20"
1501,"2016, 01, 26"
15986,"2016, 09, 26"
9877,"2016, 06, 15"
14222,"2016, 08, 25"
16795,"2016, 10, 11"
4041,"2016, 03, 09"
13084,"2016, 08, 06"
9504,"2016, 09, 06"
20421,"2016, 12, 13"
7768,"2016, 11, 05"
5222,"2016, 03, 29"
14106,"2016, 08, 23"
12043,"2016, 07, 20"
19605,"2016, 11, 29"
16253,"2016, 10, 01"
8973,"2016, 05, 31"
19127,"2016, 11, 23"
17561,"2016, 10, 25"
11971,"2016, 07, 19"
6687,"2016, 04, 22"
4611,"2016, 03, 19"
5447,"2016, 04, 02"
3558,"2016, 03, 01"
946,"2016, 01, 16"
13053,"2016, 08, 06"
14920,"2016, 09, 07"
10823,"2016, 07, 01"
5418,"2016, 04, 01"
15370,"2016, 09, 14"
5959,"2016, 04, 10"
19632,"2016, 11, 30"
8698,"2016, 05, 26"
7159,"2016, 04, 30"
10298,"2016, 06, 22"
21339,"2016, 12, 31"
4698,"2016, 03, 20"
12062,"2016, 07, 21"
5670,"2016, 04, 05"
12738,"2016, 08, 01"
19157,"2016, 11, 23"
15561,"2016, 09, 17"
9590,"2016, 10, 06"
16820,"2016, 10, 11"
2328,"2016, 02, 08"
19356,"2016, 11, 26"
15984,"2016, 09, 26"
9462,"2016, 06, 08"
9571,"2016, 06, 10"
16520,"2016, 10, 06"
2319,"2016, 02, 08"
17406,"2016, 10, 23"
902,"2016, 01, 15"
5781,"2016, 04, 07"
8479,"2016, 05, 22"
18050,"2016, 11, 04"
6292,"2016, 04, 16"
13861,"2016, 08, 19"
11361,"2016, 07, 09"
2236,"2016, 02, 06"
5866,"2016, 04, 09"
19499,"2016, 11, 27"
10630,"2016, 06, 27"
3182,"2016, 02, 23"
12704,"2016, 07, 31"
3043,"2016, 02, 20"
2241,"2016, 02, 07"
378,"2016, 07, 01"
8057,"2016, 05, 15"
18943,"2016, 11, 19"
7298,"2016, 05, 02"
4751,"2016, 03, 21"
9368,"2016, 06, 06"
6902,"2016, 04, 26"
15448,"2016, 09, 15"
11733,"2016, 07, 15"
8250,"2016, 05, 18"
15985,"2016, 09, 26"
16531,"2016, 10, 06"
16243,"2016, 10, 01"
12935,"2016, 08, 04"
14559,"2016, 08, 31"
1128,"2016, 01, 19"
18840,"2016, 11, 18"
5469,"2016, 04, 02"
10933,"2016, 07, 03"
14895,"2016, 09, 06"
311,"2016, 01, 06"
19442,"2016, 11, 27"
5390,"2016, 04, 01"
8016,"2016, 05, 15"
10797,"2016, 07, 01"
4303,"2016, 03, 14"
